model,samples,mae,rmse,mape,inference_seconds,site_id
lstm,112,657.8073828560965,725.5821359734518,256.42392670848244,0.5111972000449896,3127
rf,112,917.6686607142886,1385.9152992125396,157.87814910305232,0.02953409997280687,3127
rf,112,54.961934523809596,79.26725222121927,14.149923765393627,0.03487660002429038,3180
gru,112,331.8295290810721,389.85996565733177,140.0249162869316,0.5222902999958023,3180
lstm,112,463.11085401262557,531.7412472671548,216.52015332236604,0.5281525000464171,3180
rf,112,116.26059523809559,208.40059513156524,10.974778475837581,0.05433069996070117,3662
gru,112,589.946667262486,702.0508952511047,110.49580337623466,0.5671703999396414,3662
lstm,112,760.8375990731375,887.7059208414896,140.6455442527008,0.5528125999262556,3662
rf,112,101.6081845238095,177.54947058121746,14.466819491310087,0.04739079996943474,3682
gru,112,555.8585744585309,667.7048555571839,126.50170159645558,0.7060596999945119,3682
lstm,112,739.2670783996582,871.524511888841,174.3898412988213,0.4903063999954611,3682
rf,112,460.035089285715,596.302779553704,154.0626751648047,0.024130200035870075,3685
gru,112,635.9793265206473,693.9762049448378,230.54829400132112,0.424270199961029,3685
lstm,112,661.7537427629743,779.7417668404005,283.3443467739568,0.40781230002176017,3685
rf,112,109.37190476190503,164.31388583372313,18.113686215927906,0.023233499960042536,3804
gru,112,647.9536318097796,755.2336380353631,208.89645847533797,0.4215682999929413,3804
lstm,112,723.8896353585379,831.8699227308738,228.23387298352006,0.4482896999688819,3804
rf,112,204.03339285714264,299.7236557379621,23.684570849451912,0.0462523999158293,3812
gru,112,474.64672252110074,579.1042442770548,122.48984899532796,0.5136701998999342,3812
lstm,112,711.9720791407993,825.5844949348592,208.43683115945515,0.7675783999729902,3812
rf,112,79.64229166666675,117.1234376913812,13.465108397988827,0.035917800036258996,4030
gru,112,287.6692567552839,326.19253233242205,73.47608271132101,0.3858452000422403,4030
lstm,112,378.59737069266185,426.78277783079227,113.89186216939315,0.31303930003196,4030
rf,112,82.64901785714265,115.76283063679611,10.71127311061273,0.01858970010653138,4032
gru,112,498.84335817609514,591.0233310301232,104.46290893010513,0.34253650007303804,4032
lstm,112,614.4974517822266,720.1288845637861,135.552938029226,0.30088270001579076,4032
rf,112,92.02104166666598,134.5567743501298,10.719546947378648,0.017737300018779933,4034
gru,112,472.4159458705357,572.1315814798924,84.79933144805557,0.33059200004208833,4034
lstm,112,637.1950558253696,749.104640256964,120.25139904658661,0.3301713999826461,4034
rf,112,94.19672619047587,140.72252683676945,10.564510528451768,0.025342500070109963,4035
gru,112,467.1822155543736,557.2107469527062,85.6220020707369,0.40701890003401786,4035
lstm,112,670.539308820452,769.7531116720386,124.19126144780802,0.30950259999372065,4035
rf,112,99.45279761904725,145.61185291290718,9.496980041293723,0.02889020007569343,4040
gru,112,447.73953083583285,542.1896312181276,68.20075310763065,0.3329304999206215,4040
lstm,112,546.6610619681222,638.8321009194498,78.20473256643757,0.3733381999190897,4040
rf,112,119.03767857142887,191.60707995967869,10.986000490937501,0.018816899973899126,4043
gru,112,619.737713950021,743.7270945623292,93.62561707427791,0.3245833000401035,4043
lstm,112,947.3109174455915,1067.1577283595063,143.1213719369583,0.353137300000526,4043
rf,112,45.4107142857144,63.270158060432195,13.693060537630345,0.022149099968373775,4051
gru,112,184.30236107962472,218.58138582824492,125.09611592082759,0.32608500006608665,4051
lstm,112,257.54495075770785,292.4517279527715,170.47671397022555,0.3005470000207424,4051
rf,112,72.3328273809524,96.04671048371239,13.375245875474429,0.017451200052164495,4057
gru,112,466.4486301967076,550.740020347067,181.09815163837098,0.3747655999613926,4057
lstm,112,544.2762031555176,641.7700813755993,223.02582100773773,0.3237610999494791,4057
rf,112,84.55773809523824,131.47339446738945,10.716755519206545,0.022096100030466914,4063
gru,112,303.4819777352469,375.663899373818,69.0956831256269,0.47675859997980297,4063
lstm,112,522.0636901855469,586.6236524955871,135.64626909840092,0.3879337999969721,4063
rf,112,97.51258928571421,124.56384159234192,24.04722319157559,0.023483099997974932,4262
gru,112,182.699341910226,203.47604521436867,90.27722226001862,2.404546400066465,4262
lstm,112,235.72845840454102,264.92058956852077,115.94378992259489,0.47381490003317595,4262
gru,112,653.1551246643066,739.4317782010443,125.04012282859358,0.5786208999343216,4263
lstm,112,810.7442490713937,901.4055142243053,156.74846081873264,0.47896209999453276,4263
rf,112,751.4849404761904,1092.8398393395164,38.475742527836445,0.019361300044693053,4263
rf,112,184.54357142857154,241.48876227633056,27.32354919165022,0.02548680000472814,4264
gru,112,430.5493082318987,526.3364857019384,107.65902048170997,0.5428371999878436,4264
lstm,112,436.85993521554127,537.1110370004616,106.30162111486965,0.5962143000215292,4264
rf,112,85.25979166666639,121.14853198484609,9.371801719182129,0.03344140003900975,4266
gru,112,579.2283199855259,695.8379206409143,103.24832349921837,1.6213840999407694,4266
lstm,112,620.556079864502,742.283696437582,117.93804010535327,0.7526261999737471,4266
rf,112,81.5879464285713,116.64017912116135,14.158913449780282,0.03401890001259744,4270
gru,112,378.5032168797084,453.77182842609955,74.35501207265389,0.5885662001091987,4270
lstm,112,608.4082489013672,687.4044213725577,118.63363897361661,0.5322825000621378,4270
